codigo_curso;nombre_curso;seccion;evaluacion;nombre_docente;tipo;aula;dia;inicio;fin;vacantes;;
BMA02;CALCULO INTEGRAL;U;G;ARAMBULO OSTOS, CARLOS EDUARDO;T;S4-211;VI;10;12;39;;
BMA02;CALCULO INTEGRAL;V;G;CUTIPA COAQUIRA, MIGUEL  ;P;S4-208;MI;10;12;39;;
BMA02;CALCULO INTEGRAL;V;G;CUTIPA COAQUIRA, MIGUEL  ;T;S4-206;JU;12;14;39;;
BMA02;CALCULO INTEGRAL;V;G;CUTIPA COAQUIRA, MIGUEL  ;T;S4-208;LU;8;10;39;;
BMA02;CALCULO INTEGRAL;W;G;HUANCA SULLCA, VICTOR  ;P;S4-110;MI;10;12;39;;
BMA02;CALCULO INTEGRAL;W;G;HUANCA SULLCA, VICTOR  ;T;S4-212;LU;16;18;39;;
BMA02;CALCULO INTEGRAL;W;G;HUANCA SULLCA, VICTOR  ;T;S4-203;JU;16;18;39;;
BMA02;CALCULO INTEGRAL;X;G;BRONCANO TORRES, JUAN CARLOS;P;S4-214;MI;10;12;39;;
BMA02;CALCULO INTEGRAL;X;G;BRONCANO TORRES, JUAN CARLOS;T;S4-210;MA;8;10;39;;
BMA02;CALCULO INTEGRAL;X;G;BRONCANO TORRES, JUAN CARLOS;T;S4-216;VI;8;10;39;;
BMA02;CALCULO INTEGRAL;Y;G;HUANCA SULLCA, VICTOR  ;P;S4-210;JU;14;16;39;;
BMA02;CALCULO INTEGRAL;Y;G;;P;S4-209;MI;10;12;39;;
BMA02;CALCULO INTEGRAL;Y;G;HUANCA SULLCA, VICTOR  ;T;S4-214;MA;8;10;39;;
BMA02;CALCULO INTEGRAL;Y;G;HUANCA SULLCA, VICTOR  ;T;S4-211;LU;14;16;39;;
BMA03;ALGEBRA LINEAL;U;G;KALA BÉJAR, LOURDES CRISTINA;P;S4-110;JU;10;12;38;;
BMA03;ALGEBRA LINEAL;U;G;KALA BÉJAR, LOURDES CRISTINA;T;S4-110;MA;10;13;38;;
BMA03;ALGEBRA LINEAL;V;G;HUAMAN SANCHEZ, ALEJANDRO APOLINARIO;P;S4-212;JU;10;12;38;;
BMA03;ALGEBRA LINEAL;V;G;HUAMAN SANCHEZ, ALEJANDRO APOLINARIO;T;S4-205;MA;14;17;38;;
BMA03;ALGEBRA LINEAL;W;G;KALA BÉJAR, LOURDES CRISTINA;P;S4-110;VI;8;10;38;;
BMA03;ALGEBRA LINEAL;W;G;KALA BÉJAR, LOURDES CRISTINA;T;S4-110;LU;10;13;38;;
BMA03;ALGEBRA LINEAL;W;G;;P;S2-136;JU;10;12;38;;
BMA03;ALGEBRA LINEAL;X;G;CERNADES GOMEZ, JESUS;P;S4-206;JU;10;12;38;;
BMA03;ALGEBRA LINEAL;X;G;CERNADES GOMEZ, JESUS;T;S4-207;LU;10;13;38;;
BMA03;ALGEBRA LINEAL;Y;G;SINCHE CHOCCA, NILDO  ;P;S4-204;JU;10;12;38;;
BMA03;ALGEBRA LINEAL;Y;G;SINCHE CHOCCA, NILDO  ;T;S4-215;LU;15;18;38;;
BQU01;QUIMICA I;A;F;REYES ACOSTA, ROSARIO  ;LAB;LAB-QUIM;MI;10;12;32;;
BQU01;QUIMICA I;A;F;GOMEZ GALVEZ, SUSANA TERESA;P;S4-205;MI;10;12;32;;
BQU01;QUIMICA I;A;F;ALCANTARA MALCA, DANIEL ADOLFO;T;S4-214;LU;10;12;32;;
BQU01;QUIMICA I;A;F;ALCANTARA MALCA, DANIEL ADOLFO;T;S4-212;MA;14;16;32;;
BQU01;QUIMICA I;B;F;GOMEZ GALVEZ, SUSANA TERESA;LAB;LAB-QUIM;MI;8;10;32;;
BQU01;QUIMICA I;B;F;GOMEZ GALVEZ, SUSANA TERESA;P;S4-208;MI;8;10;32;;
BQU01;QUIMICA I;B;F;GOMEZ GALVEZ, SUSANA TERESA;T;S4-110;LU;8;10;32;;
BQU01;QUIMICA I;B;F;GOMEZ GALVEZ, SUSANA TERESA;T;S4-204;VI;8;10;32;;
BQU01;QUIMICA I;U;F;RONDINEL PINEDA, PETRA ELINE;LAB;LAB-QUIM;MA;14;16;32;;
BQU01;QUIMICA I;U;F;VALENZUELA GONZALEZ, ERIK OMAR;P;S4-206;MA;14;16;32;;
BQU01;QUIMICA I;U;F;ALCANTARA MALCA, DANIEL ADOLFO;T;S4-112;MI;10;12;32;;
BQU01;QUIMICA I;U;F;ALCANTARA MALCA, DANIEL ADOLFO;T;S4-203;JU;14;16;32;;
BQU01;QUIMICA I;V;F;ALCANTARA MALCA, DANIEL ADOLFO;LAB;LAB-QUIM;MA;16;18;35;;
BQU01;QUIMICA I;V;F;REYES ACOSTA, ROSARIO  ;P;S4-214;MA;16;18;35;;
BQU01;QUIMICA I;V;F;OSORIO MARUJO, BILMA ELIZABETH;T;S4-208;LU;10;12;35;;
BQU01;QUIMICA I;V;F;OSORIO MARUJO, BILMA ELIZABETH;T;S4-210;JU;10;12;35;;
BQU01;QUIMICA I;W;F;GOMEZ GALVEZ, SUSANA TERESA;LAB;LAB-QUIM;JU;15;17;32;;
BQU01;QUIMICA I;W;F;RONDINEL PINEDA, PETRA ELINE;P;S4-207;JU;15;17;32;;
BQU01;QUIMICA I;W;F;FUKUDA KAGAMI, NANCY ELENA;T;S4-203;MA;10;12;32;;
BQU01;QUIMICA I;W;F;FUKUDA KAGAMI, NANCY ELENA;T;S4-216;MA;14;16;32;;
BQU01;QUIMICA I;X;F;VALENZUELA GONZALEZ, ERIK OMAR;LAB;LAB-QUIM;LU;14;16;34;;
BQU01;QUIMICA I;X;F;RONDINEL PINEDA, PETRA ELINE;P;S4-112;LU;14;16;34;;
BQU01;QUIMICA I;X;F;CHAFLOQUE ELIAS, CARLOS ALBERTO;T;S4-201;LU;10;12;34;;
BQU01;QUIMICA I;X;F;CHAFLOQUE ELIAS, CARLOS ALBERTO;T;S4-105;MI;10;12;34;;
BQU01;QUIMICA I;Y;F;FUKUDA KAGAMI, NANCY ELENA;LAB;LAB-QUIM;LU;10;12;32;;
